cod;nombre;provincia;ccaa;pob2025;sup_km2;densidad;pob_0_15;pob_16_64;pct_16_64;pob_65_mas;pct_65_mas;es_zona_rural;paro_total;paro_h_m25;paro_h_25_44;paro_h_m45;paro_m_m25;paro_m_25_44;paro_m_m45;paro_agri;paro_indus;paro_constr;paro_serv;paro_sin_emp;tasa_paro_est;contr_total;contr_h_indef;contr_h_temp;contr_m_indef;contr_m_temp;contr_agri;contr_indus;contr_constr;contr_serv;anio_pob;anio_edad;anio_sup;anio_paro
03092;Muro de Alcoy;Alicante/Alacant;Comunitat Valenciana;9372;30.24;309.92;1447;6096;65.0;1818;19.4;NO;570;20;64;126;7;115;238;8;131;35;374;22;9.4;148;41;32;20;49;2;34;20;93;2025;2025;2020;Abril 2026
03093;Novelda;Alicante/Alacant;Comunitat Valenciana;26606;75.72;351.37;3678;17703;66.5;5231;19.7;NO;1659;42;227;428;39;332;591;208;303;112;886;150;9.4;240;65;57;55;48;36;42;19;143;2025;2025;2020;Abril 2026
03094;Nucia, la;Alicante/Alacant;Comunitat Valenciana;19121;21.36;895.18;3052;13024;68.1;3253;17.0;NO;744;53;58;173;25;127;308;7;22;63;625;27;5.7;337;107;68;73;80;24;5;21;287;2025;2025;2020;Abril 2026
03095;Ondara;Alicante/Alacant;Comunitat Valenciana;7717;10.41;741.31;1191;5112;66.2;1426;18.5;NO;382;9;48;107;12;71;135;2;19;54;288;17;7.5;232;90;22;65;44;2;7;32;192;2025;2025;2020;Abril 2026
03096;Onil;Alicante/Alacant;Comunitat Valenciana;8114;48.41;167.61;1166;5270;64.9;1709;21.1;NO;415;11;53;86;8;75;182;8;145;28;203;31;7.9;79;7;30;17;21;;38;2;39;2025;2025;2020;Abril 2026
03097;Orba;Alicante/Alacant;Comunitat Valenciana;2399;17.73;135.31;257;1246;51.9;899;37.5;NO;61;0;9;17;2;15;19;2;2;5;50;2;4.9;20;2;2;6;6;2;2;2;16;2025;2025;2020;Abril 2026
03098;Orxeta;Alicante/Alacant;Comunitat Valenciana;906;24.06;37.66;113;600;66.2;221;24.4;SI;39;0;2;14;2;2;20;2;6;5;26;2;6.5;2;;;2;0;;;;2;2025;2025;2020;Abril 2026
03099;Orihuela;Alicante/Alacant;Comunitat Valenciana;84560;365.36;231.44;12109;52545;62.1;19625;23.2;NO;3983;103;503;923;101;830;1523;205;351;449;2602;376;7.6;1898;980;171;466;242;419;46;194;1239;2025;2025;2020;Abril 2026
03100;Parcent;Alicante/Alacant;Comunitat Valenciana;1037;11.77;88.11;98;595;57.4;356;34.3;SI;36;2;5;11;2;6;12;2;0;2;30;2;6.1;2;2;0;0;2;;;2;2;2025;2025;2020;Abril 2026
03101;Pedreguer;Alicante/Alacant;Comunitat Valenciana;8849;29.58;299.15;1168;5620;63.5;2055;23.2;NO;418;21;47;107;9;90;144;8;40;38;315;17;7.4;130;42;19;34;26;2;15;8;105;2025;2025;2020;Abril 2026
03102;Pego;Alicante/Alacant;Comunitat Valenciana;10791;52.85;204.18;1319;6766;62.7;2767;25.6;NO;445;17;66;109;14;95;144;32;30;39;328;16;6.6;122;45;26;21;28;16;9;16;81;2025;2025;2020;Abril 2026
03103;Penàguila;Alicante/Alacant;Comunitat Valenciana;305;49.92;6.11;23;201;65.9;81;26.6;SI;14;0;0;2;0;2;7;2;0;2;11;2;7.0;2;2;2;;;;;2;2;2025;2025;2020;Abril 2026
03104;Petrer;Alicante/Alacant;Comunitat Valenciana;34022;104.09;326.85;4828;22516;66.2;6691;19.7;NO;2431;69;257;527;63;414;1101;42;668;133;1399;189;10.8;268;65;66;53;67;;65;27;176;2025;2025;2020;Abril 2026
03105;Pinós, el/Pinoso;Alicante/Alacant;Comunitat Valenciana;8523;126.46;67.4;1184;5508;64.6;1864;21.9;SI;418;11;42;91;14;100;160;25;105;18;228;42;7.6;31;11;2;7;8;;7;2;21;2025;2025;2020;Abril 2026
03106;Planes;Alicante/Alacant;Comunitat Valenciana;697;38.87;17.93;53;408;58.5;244;35.0;SI;23;2;2;6;2;2;8;0;5;2;14;2;5.6;2;0;2;;;;2;;2;2025;2025;2020;Abril 2026
03107;Polop;Alicante/Alacant;Comunitat Valenciana;5828;22.56;258.33;963;3931;67.5;1000;17.2;NO;222;5;23;64;7;36;87;5;2;31;181;2;5.6;46;14;6;12;9;11;2;2;32;2025;2025;2020;Abril 2026
03109;Rafal;Alicante/Alacant;Comunitat Valenciana;4849;1.57;3088.54;882;3266;67.4;675;13.9;NO;248;10;26;60;2;46;102;11;32;46;134;25;7.6;107;93;2;11;2;;2;88;16;2025;2025;2020;Abril 2026
03110;Ràfol d'Almúnia, el;Alicante/Alacant;Comunitat Valenciana;734;4.88;150.41;84;406;55.3;252;34.3;NO;14;;0;7;0;2;5;0;0;2;13;;3.4;2;2;0;;;2;;;2;2025;2025;2020;Abril 2026
03111;Redován;Alicante/Alacant;Comunitat Valenciana;8283;9.45;876.51;1339;5641;68.1;1330;16.1;NO;571;19;68;139;15;125;205;35;66;70;334;66;10.1;116;65;13;17;11;28;12;23;53;2025;2025;2020;Abril 2026
03112;Relleu;Alicante/Alacant;Comunitat Valenciana;1375;76.87;17.89;114;862;62.7;397;28.9;SI;51;2;11;14;2;9;15;2;0;2;45;2;5.9;7;2;2;0;2;;;2;2;2025;2025;2020;Abril 2026
03113;Rojales;Alicante/Alacant;Comunitat Valenciana;17652;27.73;636.57;1760;9041;51.2;6687;37.9;NO;506;15;77;145;13;98;158;15;40;59;380;12;5.6;158;74;14;61;7;2;6;25;125;2025;2025;2020;Abril 2026
03114;Romana, la;Alicante/Alacant;Comunitat Valenciana;2729;43.29;63.04;326;1668;61.1;772;28.3;SI;104;5;15;23;2;19;39;7;17;2;70;6;6.2;57;23;2;30;2;42;2;2;9;2025;2025;2020;Abril 2026
03115;Sagra;Alicante/Alacant;Comunitat Valenciana;441;5.62;78.47;42;236;53.5;165;37.4;SI;16;;2;7;;2;5;2;2;2;10;;6.8;2;2;0;;;;;;2;2025;2025;2020;Abril 2026
03116;Salinas;Alicante/Alacant;Comunitat Valenciana;1828;61.71;29.62;246;1177;64.4;399;21.8;SI;96;2;2;24;2;24;39;2;16;0;74;5;8.2;87;10;23;9;45;;81;2;2;2025;2025;2020;Abril 2026
03117;Sanet y Negrals;Alicante/Alacant;Comunitat Valenciana;712;3.94;180.71;61;409;57.4;251;35.3;NO;23;2;2;5;;2;12;0;2;0;21;2;5.6;2;2;0;0;0;;;2;2;2025;2025;2020;Abril 2026
03118;San Fulgencio;Alicante/Alacant;Comunitat Valenciana;9769;20.7;471.93;875;4787;49.0;4244;43.4;NO;290;6;26;94;2;58;104;11;20;21;205;33;6.1;57;22;9;19;5;2;2;2;49;2025;2025;2020;Abril 2026
